date,team1,team2,result
23.03. 00:00,Barbados,United States Virgin Islands,0 : 1
17.03. 13:15,Brunei,Chinese Taipei,0 : 2
17.03. 13:00,Macau,Cambodia,1 : 1
17.03. 11:00,Bhutan,Sri Lanka,2 : 1
17.03. 10:45,Nepal,India,0 : 0
17.03. 09:00,Mongolia,East Timor,0 : 1
12.03. 16:30,Yemen,Pakistan,3 : 1
12.03. 14:30,India,Nepal,2 : 0
12.03. 12:00,Chinese Taipei,Brunei,0 : 1
12.03. 10:30,Sri Lanka,Bhutan,0 : 1
12.03. 10:00,Cambodia,Macau,3 : 0
12.03. 08:00,East Timor,Mongolia,4 : 1
